pid,energia
1,nuclear
2,geotérmica
5,geotérmica
6,termoeléctrica
15,nuclear
17,geotérmica
18,nuclear
21,solar
22,solar
24,solar
25,hidroeléctrica
30,termoeléctrica
39,termoeléctrica
40,hidroeléctrica
41,nuclear
45,nuclear
46,termoeléctrica
49,mareomotriz
50,hidroeléctrica
54,solar
57,termoeléctrica
60,geotérmica
64,hidroeléctrica
65,termoeléctrica
67,solar
68,hidroeléctrica
70,termoeléctrica
71,mareomotriz
72,termoeléctrica
73,mareomotriz
77,termoeléctrica
82,solar
86,geotérmica
89,nuclear
92,geotérmica
94,mareomotriz
96,termoeléctrica
98,mareomotriz
104,mareomotriz
107,hidroeléctrica
116,termoeléctrica
118,mareomotriz
119,hidroeléctrica
120,solar
122,geotérmica
128,mareomotriz
138,mareomotriz
140,termoeléctrica
145,hidroeléctrica
147,geotérmica
151,hidroeléctrica
156,solar
158,mareomotriz
161,hidroeléctrica
164,nuclear
169,solar
172,solar
173,hidroeléctrica
174,termoeléctrica
178,termoeléctrica
181,solar
183,mareomotriz
185,solar
189,nuclear
190,mareomotriz
193,geotérmica
199,termoeléctrica
204,termoeléctrica
213,nuclear
215,hidroeléctrica
216,mareomotriz
218,geotérmica
220,hidroeléctrica
221,mareomotriz
225,mareomotriz
228,hidroeléctrica
230,solar
231,hidroeléctrica
236,hidroeléctrica
246,nuclear
247,nuclear
248,termoeléctrica
249,nuclear
250,nuclear
253,termoeléctrica
254,nuclear
257,geotérmica
260,geotérmica
264,nuclear
269,hidroeléctrica
274,nuclear
275,geotérmica
279,geotérmica
284,hidroeléctrica
288,geotérmica
290,mareomotriz
292,nuclear
296,solar
298,termoeléctrica
300,nuclear
301,nuclear
303,geotérmica
307,nuclear
312,mareomotriz
313,geotérmica
314,mareomotriz
318,geotérmica
320,solar
324,solar
327,solar
330,geotérmica
335,geotérmica
336,solar
342,mareomotriz
343,solar
344,hidroeléctrica
349,termoeléctrica
350,nuclear
351,termoeléctrica
358,geotérmica
359,nuclear
362,geotérmica
363,solar
364,termoeléctrica
365,hidroeléctrica
374,solar
375,mareomotriz
377,termoeléctrica
379,hidroeléctrica
380,mareomotriz
381,mareomotriz
384,geotérmica
390,solar
391,geotérmica
392,mareomotriz
393,mareomotriz
401,solar
402,geotérmica
403,nuclear
407,hidroeléctrica
408,hidroeléctrica
413,termoeléctrica
415,hidroeléctrica
417,solar
422,termoeléctrica
423,solar
428,nuclear
438,nuclear
440,hidroeléctrica
445,mareomotriz
